iter	Passed	Remaining
831	11446	2311
832	11457	2297
833	11469	2282
834	11480	2268
835	11491	2254
836	11503	2240
837	11515	2226
838	11527	2212
839	11538	2197
840	11550	2183
841	11561	2169
842	11573	2155
843	11584	2141
844	11595	2127
845	11607	2112
846	11619	2098
847	11633	2085
848	11645	2071
849	11656	2057
850	11668	2042
851	11679	2028
852	11692	2015
853	11706	2001
854	11719	1987
855	11735	1974
856	11748	1960
857	11760	1946
858	11779	1933
859	11792	1919
860	11809	1906
861	11822	1892
862	11835	1878
863	11851	1865
864	11864	1851
865	11879	1838
866	11891	1824
867	11904	1810
868	11921	1797
869	11935	1783
870	11948	1769
871	11963	1756
872	11975	1742
873	11988	1728
874	12000	1714
875	12013	1700
876	12026	1686
877	12039	1672
878	12052	1659
879	12063	1645
880	12075	1631
881	12086	1617
882	12099	1603
883	12112	1589
884	12124	1575
885	12135	1561
886	12152	1548
887	12166	1534
888	12181	1520
889	12194	1507
890	12207	1493
891	12218	1479
892	12230	1465
893	12242	1451
894	12255	1437
895	12266	1423
896	12280	1410
897	12292	1396
898	12305	1382
899	12317	1368
900	12329	1354
901	12342	1341
902	12356	1327
903	12369	1313
904	12380	1299
905	12393	1285
906	12405	1271
907	12417	1258
908	12429	1244
909	12441	1230
910	12453	1216
911	12465	1202
912	12476	1188
913	12488	1175
914	12499	1161
915	12510	1147
916	12525	1133
917	12537	1119
918	12549	1106
919	12564	1092
920	12576	1078
921	12590	1065
922	12601	1051
923	12613	1037
924	12627	1023
925	12640	1010
926	12651	996
927	12662	982
928	12674	968
929	12685	954
930	12698	941
931	12709	927
932	12721	913
933	12733	899
934	12746	886
935	12757	872
936	12770	858
937	12784	845
938	12798	831
939	12811	817
940	12822	803
941	12836	790
942	12848	776
943	12860	762
944	12872	749
945	12884	735
946	12895	721
947	12907	707
948	12918	694
949	12930	680
950	12943	666
951	12954	653
952	12966	639
953	12979	625
954	12991	612
955	13002	598
956	13013	584
957	13025	571
958	13036	557
959	13047	543
960	13059	529
961	13072	516
962	13091	503
963	13109	489
964	13132	476
965	13148	462
966	13164	449
967	13182	435
968	13199	422
